jobs,lock,runtime_ns
1,backoff-1000-8000,1593799
1,backoff-1000-8000,1627541
1,backoff-1000-8000,1542025
1,backoff-1000-8000,1594538
1,backoff-1000-8000,1607860
1,backoff-1000-8000,1557756
1,backoff-1000-8000,1617955
1,backoff-1000-8000,1567655
1,backoff-1000-8000,1639105
1,backoff-1000-8000,1591160
1,backoff-1000-8000,1522455
1,backoff-1000-8000,1519043
1,backoff-1000-8000,1551781
1,backoff-1000-8000,1521284
1,backoff-1000-8000,1554800
1,backoff-1000-8000,1554705
1,backoff-1000-8000,1554376
1,backoff-1000-8000,1555043
1,backoff-1000-8000,1565947
1,backoff-1000-8000,1513979
1,backoff-1000-8000,1586228
1,backoff-1000-8000,1521583
1,backoff-1000-8000,1588119
1,backoff-1000-8000,1570415
1,backoff-1000-8000,1589556
1,backoff-1000-8000,1558771
1,backoff-1000-8000,1542644
1,backoff-1000-8000,1516644
1,backoff-1000-8000,1553205
1,backoff-1000-8000,1517914
1,backoff-1000-8000,1551206
1,backoff-1000-8000,1609047
1,backoff-1000-8000,1558517
1,backoff-1000-8000,1588252
1,backoff-1000-8000,1615705
1,backoff-1000-8000,1621554
1,backoff-1000-8000,1625147
1,backoff-1000-8000,1620766
1,backoff-1000-8000,1613199
1,backoff-1000-8000,1623590
1,backoff-1000-8000,1753350
1,backoff-1000-8000,1735190
1,backoff-1000-8000,1754980
1,backoff-1000-8000,1753085
1,backoff-1000-8000,1748530
1,backoff-1000-8000,1886671
1,backoff-1000-8000,1862444
1,backoff-1000-8000,1896755
1,backoff-1000-8000,1894713
1,backoff-1000-8000,1911028
2,backoff-1000-8000,4010337
2,backoff-1000-8000,4290782
2,backoff-1000-8000,4344340
2,backoff-1000-8000,4774828
2,backoff-1000-8000,4868870
2,backoff-1000-8000,5535615
2,backoff-1000-8000,5605850
2,backoff-1000-8000,5581619
2,backoff-1000-8000,5638061
2,backoff-1000-8000,5604125
2,backoff-1000-8000,5628972
2,backoff-1000-8000,5585892
2,backoff-1000-8000,5628535
2,backoff-1000-8000,5594162
2,backoff-1000-8000,5667919
2,backoff-1000-8000,5632100
2,backoff-1000-8000,5618210
2,backoff-1000-8000,5595171
2,backoff-1000-8000,5604611
2,backoff-1000-8000,5581475
2,backoff-1000-8000,5636730
2,backoff-1000-8000,5626716
2,backoff-1000-8000,5639509
2,backoff-1000-8000,5587162
2,backoff-1000-8000,5605403
2,backoff-1000-8000,5612720
2,backoff-1000-8000,5613863
2,backoff-1000-8000,5614010
2,backoff-1000-8000,5624214
2,backoff-1000-8000,5567233
2,backoff-1000-8000,5635489
2,backoff-1000-8000,5581047
2,backoff-1000-8000,5621442
2,backoff-1000-8000,5587913
2,backoff-1000-8000,5602466
2,backoff-1000-8000,5575970
2,backoff-1000-8000,5613940
2,backoff-1000-8000,5579265
2,backoff-1000-8000,4924202
2,backoff-1000-8000,4729051
2,backoff-1000-8000,4725856
2,backoff-1000-8000,4697944
2,backoff-1000-8000,4660206
2,backoff-1000-8000,4702584
2,backoff-1000-8000,4722770
2,backoff-1000-8000,4718195
2,backoff-1000-8000,4721914
2,backoff-1000-8000,4688708
2,backoff-1000-8000,4706717
2,backoff-1000-8000,4661615
4,backoff-1000-8000,9335818
4,backoff-1000-8000,9338501
4,backoff-1000-8000,8962446
4,backoff-1000-8000,7410962
4,backoff-1000-8000,6304242
4,backoff-1000-8000,5870758
4,backoff-1000-8000,5972686
4,backoff-1000-8000,6002362
4,backoff-1000-8000,5988535
4,backoff-1000-8000,6043662
4,backoff-1000-8000,5985835
4,backoff-1000-8000,5988620
4,backoff-1000-8000,5965860
4,backoff-1000-8000,6001886
4,backoff-1000-8000,6018365
